telepules,terulet,lakossag,,,,,,,,,,,,,,
Pusztaföldvár,57,1700,,,,,,,,,,,,,,
Tótkomlós,125,5780,,,,,,,,,,,,,,
Orosházi járás,717,50835,,,,,,,,,,,,,,
Biharugra,53,839,,,,,,,,,,,,,,
Geszt,51,754,,,,,,,,,,,,,,
Körösnagyharsány,20,550,,,,,,,,,,,,,,
Kötegyán,43,1355,,,,,,,,,,,,,,
Méhkerék,26,2033,,,,,,,,,,,,,,
Mezőgyán,60,1042,,,,,,,,,,,,,,
Okány,71,2547,,,,,,,,,,,,,,
Sarkad,126,10011,,,,,,,,,,,,,,
Sarkadkeresztúr,35,1495,,,,,,,,,,,,,,
Újszalonta,21,98,,,,,,,,,,,,,,
Zsadány,66,1639,,,,,,,,,,,,,,
Sarkadi járás,571,22363,,,,,,,,,,,,,,
Békésszentandrás,77,3765,,,,,,,,,,,,,,
Csabacsűd,67,1800,,,,,,,,,,,,,,
Kardos,43,608,,,,,,,,,,,,,,
Kondoros,82,5201,,,,,,,,,,,,,,
Örménykút,55,374,,,,,,,,,,,,,,
Szarvas,162,17007,,,,,,,,,,,,,,
Szarvasi járás,485,28755,,,,,,,,,,,,,,
Bucsa,56,2055,,,,,,,,,,,,,,
Füzesgyarmat,127,5665,,,,,,,,,,,,,,
Kertészsziget,39,379,,,,,,,,,,,,,,
Körösladány,124,4582,,,,,,,,,,,,,,
Körösújfalu,25,537,,,,,,,,,,,,,,
Szeghalom,217,9115,,,,,,,,,,,,,,
Vésztő,126,6680,,,,,,,,,,,,,,
Szeghalmi járás,714,29013,,,,,,,,,,,,,,
Borsod-Abaúj-Zemplén megye,,,,,,,,,,,,,,,,
Bodroghalom,27,1303,,,,,,,,,,,,,,
Cigánd,57,2682,,,,,,,,,,,,,,
Dámóc,16,397,,,,,,,,,,,,,,
Karcsa,44,1734,,,,,,,,,,,,,,
Karos,15,496,,,,,,,,,,,,,,
Kisrozvágy,8,121,,,,,,,,,,,,,,
Lácacséke,16,264,,,,,,,,,,,,,,
Nagyrozvágy,27,609,,,,,,,,,,,,,,
Pácin,34,1381,,,,,,,,,,,,,,
Révleányvár,17,469,,,,,,,,,,,,,,
Ricse,25,1661,,,,,,,,,,,,,,
Semjén,8,446,,,,,,,,,,,,,,
Tiszacsermely,20,554,,,,,,,,,,,,,,
Tiszakarád,48,2279,,,,,,,,,,,,,,
Zemplénagárd,29,722,,,,,,,,,,,,,,
Cigándi járás,390,15118,,,,,,,,,,,,,,
