,iskola,neme,eletpalya,lakossag,d10,d11,egyutt
93,3,2,0.4745762711864407,0.0005333235250845962,1,0,5
94,4,1,0.4067796610169491,0.0005333235250845962,1,0,2
95,2,1,0.23728813559322032,0.0005333235250845962,1,0,3
96,2,2,0.25423728813559326,0.0005333235250845962,1,0,4
97,4,1,0.6779661016949152,0.021448456120347213,1,1,2
98,6,2,0.050847457627118675,0.021448456120347213,1,1,3
99,2,2,0.576271186440678,0.021448456120347213,1,1,3
100,3,1,0.6949152542372881,0.021448456120347213,1,1,2
101,5,2,0.5932203389830508,0.021448456120347213,1,1,3
102,8,2,0.42372881355932207,0.021448456120347213,1,1,3
103,4,2,0.3559322033898305,0.021448456120347213,1,1,2
104,6,1,0.576271186440678,0.021448456120347213,1,1,3
105,6,2,0.2711864406779661,0.021448456120347213,1,1,1
106,8,2,0.37288135593220345,0.021448456120347213,1,1,2
107,8,2,0.4406779661016949,0.021448456120347213,1,1,4
108,4,1,0.08474576271186446,0.021448456120347213,1,1,2
109,3,1,0.5084745762711864,0.021448456120347213,1,1,3
110,3,1,0.7966101694915253,0.009741200161836104,1,1,1
111,4,2,0.6949152542372881,0.009741200161836104,1,1,2
112,4,1,0.6101694915254237,0.009741200161836104,1,1,3
113,3,1,0.6949152542372881,0.009741200161836104,1,1,2
114,6,2,0.6949152542372881,0.009741200161836104,1,1,1
115,5,1,0.25423728813559326,0.0049872646020303075,1,1,5
116,2,1,0.03389830508474578,0.0049872646020303075,1,1,2
117,3,2,0.5593220338983051,0.0049872646020303075,1,0,1
118,4,2,0.6440677966101696,0.0049872646020303075,1,1,1
119,2,1,0.49152542372881364,0.0049872646020303075,1,0,11
120,3,1,0.2711864406779661,0.0049872646020303075,1,1,2
121,4,2,0.16949152542372886,0.0049872646020303075,1,1,5
122,3,1,0.6610169491525424,0.06564074683683978,1,1,2
123,4,1,0.6610169491525424,0.06564074683683978,1,1,2
124,4,1,0.6440677966101696,0.06564074683683978,1,1,2
125,8,2,0.11864406779661019,0.06564074683683978,1,1,1
126,8,1,0.20338983050847464,0.06564074683683978,1,1,3
127,6,2,0.3898305084745763,0.06564074683683978,1,1,5
128,6,2,0.08474576271186446,0.06564074683683978,1,1,2
129,3,1,0.6101694915254237,0.06564074683683978,1,1,1
130,3,1,0.5593220338983051,0.06564074683683978,1,1,2
131,6,2,0.5932203389830508,0.06564074683683978,1,1,2
132,8,1,0.37288135593220345,0.06564074683683978,1,1,3
133,7,2,0.37288135593220345,0.06564074683683978,1,1,4
134,7,2,0.23728813559322032,0.06564074683683978,1,1,2
135,8,2,0.576271186440678,0.06564074683683978,1,1,2
136,3,1,0.6440677966101696,0.06564074683683978,1,1,2
137,3,1,0.6271186440677967,0.06564074683683978,1,1,2
138,3,1,0.5932203389830508,0.06564074683683978,1,1,2
139,3,1,0.576271186440678,0.06564074683683978,1,1,2
140,5,2,0.5423728813559323,0.06564074683683978,1,1,1
141,5,2,0.33898305084745767,0.06564074683683978,1,1,1
142,3,2,0.15254237288135597,0.06564074683683978,1,1,1
143,3,2,0.23728813559322032,0.06564074683683978,1,1,1
144,8,2,0.6610169491525424,0.06564074683683978,1,1,1
145,8,2,0.16949152542372886,0.06564074683683978,1,1,1
146,8,1,0.3220338983050847,0.06564074683683978,1,1,2
147,5,1,0.37288135593220345,0.06564074683683978,1,1,6
148,8,2,0.11864406779661019,0.06564074683683978,1,1,2
149,5,2,0.6101694915254237,0.06564074683683978,1,1,1
150,3,2,0.22033898305084748,0.06564074683683978,1,1,3
151,2,1,0.22033898305084748,0.06564074683683978,1,1,3
152,2,2,0.4745762711864407,0.06564074683683978,1,1,2
153,6,2,0.5932203389830508,0.008189504560835663,1,1,2
154,3,1,0.6271186440677967,0.008189504560835663,1,1,2
155,6,1,0.7796610169491525,0.008189504560835663,1,1,4
156,4,1,0.728813559322034,0.008189504560835663,1,1,2
157,3,2,0.49152542372881364,0.008189504560835663,1,1,1
