,sorszam,telnev,iskola,egyutt,neme,dolg,htnetto,eletpalya,lakossag,relLakossag,train
19,33,kiralyegyhaza,3,2,2,1,,0.5593220338983051,915.0,0.0005258496782547078,0.9360641873529749
20,36,lothard,4,3,1,1,340000.0,0.5932203389830508,254.0,0.0001459735718870992,0.6539298184731457
21,37,lothard,3,4,1,1,185000.0,0.5254237288135593,254.0,0.0001459735718870992,0.30400827419380383
22,39,lothard,4,2,2,1,360000.0,0.5423728813559323,254.0,0.0001459735718870992,0.1474848999198406
23,41,lothard,3,5,1,1,380000.0,0.5084745762711864,254.0,0.0001459735718870992,0.16156646827801613
24,43,lothard,8,3,1,1,460000.0,0.28813559322033905,254.0,0.0001459735718870992,0.9168415194986428
25,44,lothard,2,4,2,0,280000.0,0.4067796610169491,254.0,0.0001459735718870992,0.09378894804634375
26,45,lothard,4,2,2,1,340000.0,0.576271186440678,254.0,0.0001459735718870992,0.5490831579638924
27,47,mohacs,3,1,1,1,180000.0,0.5593220338983051,18604.0,0.01069170209207714,0.3928924340555783
28,48,mohacs,2,2,1,1,230000.0,0.4406779661016949,18604.0,0.01069170209207714,0.1087846943621601
29,49,mohacs,9,5,2,1,540000.0,0.49152542372881364,18604.0,0.01069170209207714,0.0032958637560969173
30,50,mohacs,2,1,2,1,75000.0,0.6610169491525424,18604.0,0.01069170209207714,0.45423234334615414
31,53,mohacs,6,1,1,1,160000.0,0.8644067796610169,18604.0,0.01069170209207714,0.9098933049195385
32,54,mohacs,2,1,1,0,60000.0,0.6949152542372881,18604.0,0.01069170209207714,0.8400730574117815
33,58,mohacs,2,3,2,1,200000.0,0.5084745762711864,18604.0,0.01069170209207714,0.3754735242478612
34,61,pecs,3,2,1,1,,0.7457627118644068,156801.0,0.09011339387979939,0.5924880976576534
35,63,pecs,4,2,1,1,450000.0,0.23728813559322032,156801.0,0.09011339387979939,0.29407827491325156
36,66,pecs,5,2,1,1,,0.2711864406779661,156801.0,0.09011339387979939,0.4573824670091684
37,70,pecs,3,3,1,1,400000.0,0.4406779661016949,156801.0,0.09011339387979939,0.903450840682811
38,72,pecs,5,2,1,1,,0.6779661016949152,156801.0,0.09011339387979939,0.18926420419192136
39,75,pecs,5,3,2,1,,0.5932203389830508,156801.0,0.09011339387979939,0.8070859842062309
40,76,pecs,5,2,2,1,,0.5932203389830508,156801.0,0.09011339387979939,0.8866523811710987
41,77,pecs,3,2,1,1,400000.0,0.6610169491525424,156801.0,0.09011339387979939,0.7965764703200731
42,85,pecs,4,4,1,1,295000.0,0.20338983050847464,156801.0,0.09011339387979939,0.9392613160223592
43,86,pecs,4,2,1,1,90000.0,0.25423728813559326,156801.0,0.09011339387979939,0.27813328992512876
44,90,pecs,3,3,1,1,300000.0,0.3220338983050847,156801.0,0.09011339387979939,0.5230735500300404
45,91,pecs,2,4,1,1,190000.0,0.4067796610169491,156801.0,0.09011339387979939,0.780091851317954
46,92,pecs,4,2,2,0,150000.0,0.050847457627118675,156801.0,0.09011339387979939,0.3201896546938654
47,93,pecs,4,4,2,1,300000.0,0.06779661016949157,156801.0,0.09011339387979939,0.8754065798752837
48,95,pecs,3,3,2,0,180000.0,0.33898305084745767,156801.0,0.09011339387979939,0.5705655310716168
49,96,pecs,4,2,1,1,224000.0,0.20338983050847464,156801.0,0.09011339387979939,0.4624132594477153
50,99,pecs,9,1,1,0,200000.0,0.11864406779661019,156801.0,0.09011339387979939,0.13141239493564338
51,100,pecs,4,1,2,0,53500.0,0.8813559322033897,156801.0,0.09011339387979939,0.5565064671375293
52,101,pecs,6,3,2,1,370000.0,1.0,156801.0,0.09011339387979939,0.8436572101888153
53,103,pecs,5,3,2,1,28500.0,0.37288135593220345,156801.0,0.09011339387979939,0.3730395014301221
54,105,pecs,4,3,2,1,,0.5932203389830508,156801.0,0.09011339387979939,0.7779371394185316
55,107,pecs,5,4,1,1,250000.0,0.728813559322034,156801.0,0.09011339387979939,0.6392324187695156
56,108,pecs,4,2,1,0,120000.0,0.5932203389830508,156801.0,0.09011339387979939,0.010253264322469202
57,110,pecs,5,3,1,1,,0.3559322033898305,156801.0,0.09011339387979939,0.6864106721742148
58,112,pecs,3,2,2,1,20000.0,0.4406779661016949,156801.0,0.09011339387979939,0.33097977676888857
59,113,pecs,8,2,2,1,,0.22033898305084748,156801.0,0.09011339387979939,0.4985558811309795
60,114,pecs,8,2,2,1,245000.0,0.33898305084745767,156801.0,0.09011339387979939,0.21388061899257949
61,115,pecs,3,2,1,1,265000.0,0.6949152542372881,156801.0,0.09011339387979939,0.02398712154979543
62,116,pecs,4,1,2,1,145000.0,0.5593220338983051,156801.0,0.09011339387979939,0.3996950646495965
63,117,pecs,4,3,2,1,360000.0,0.28813559322033905,156801.0,0.09011339387979939,0.8655602259987734
64,119,pecs,7,3,1,1,360000.0,0.15254237288135597,156801.0,0.09011339387979939,0.7985675766151015
65,120,pecs,4,2,2,1,245000.0,0.5423728813559323,156801.0,0.09011339387979939,0.5292456060510431
66,121,pecs,4,3,1,1,345000.0,0.4745762711864407,156801.0,0.09011339387979939,0.8109276979105252
67,122,pecs,3,2,1,1,385000.0,0.5084745762711864,156801.0,0.09011339387979939,0.19830089429466902
68,123,pecs,4,3,2,1,485000.0,0.1016949152542373,156801.0,0.09011339387979939,0.10253217727372477
69,124,pecs,4,4,2,1,385000.0,0.37288135593220345,156801.0,0.09011339387979939,0.4976953897649036
70,125,somogyhatvan,2,3,2,1,160000.0,0.13559322033898308,334.0,0.00019194950004051628,0.9150838564319879
71,128,somogyhatvan,3,1,1,1,,0.5084745762711864,334.0,0.00019194950004051628,0.07366152100221646
72,129,somogyhatvan,2,3,2,0,20000.0,0.050847457627118675,334.0,0.00019194950004051628,0.9461867189521782
73,130,somogyhatvan,3,1,1,1,145000.0,0.6610169491525424,334.0,0.00019194950004051628,0.2629748386047065
74,131,somogyhatvan,2,2,1,1,90000.0,0.22033898305084748,334.0,0.00019194950004051628,0.6974580037684983
75,132,somogyhatvan,2,2,1,0,30000.0,0.1016949152542373,334.0,0.00019194950004051628,0.46935269081575237
76,133,somogyhatvan,2,2,2,1,125000.0,0.42372881355932207,334.0,0.00019194950004051628,0.5098948801773363
77,134,somogyhatvan,3,2,1,1,100000.0,0.6440677966101696,334.0,0.00019194950004051628,0.7188624099148396
78,135,somogyhatvan,2,5,1,1,,0.8135593220338984,334.0,0.00019194950004051628,0.11978313521239414
79,137,szigetvar,3,1,1,1,65000.0,0.37288135593220345,10772.0,0.006190658725857609,0.492460876191531
80,138,szigetvar,3,2,2,1,193000.0,0.6440677966101696,10772.0,0.006190658725857609,0.8217263594453056
81,139,szigetvar,6,2,1,1,250000.0,0.06779661016949157,10772.0,0.006190658725857609,0.7306379243523599
